REFERENCES Error Sintantico  En Linea: 4
PRIMARY Error Sintantico  En Linea: 26
COMMA Error Sintantico  En Linea: 30
PRIMARY Error Sintantico  En Linea: 34
NOT Error Sintantico  En Linea: 40
PRIMARY Error Sintantico  En Linea: 48
COMMA Error Sintantico  En Linea: 53
COMMA Error Sintantico  En Linea: 59
COMMA Error Sintantico  En Linea: 103
IDENTIFICADOR Error Sintantico  En Linea: 111
MAS Error Sintantico  En Linea: 116
ENTERO Error Sintantico  En Linea: 128
MAS Error Sintantico  En Linea: 139
ASTERISCO Error Sintantico  En Linea: 153
IDENTIFICADOR Error Sintantico  En Linea: 190
IDENTIFICADOR Error Sintantico  En Linea: 192
PUNTO Error Sintantico  En Linea: 194
EXISTS Error Sintantico  En Linea: 194
OR Error Sintantico  En Linea: 194
IDENTIFICADOR Error Sintantico  En Linea: 200
OPENQUERY Error Sintantico  En Linea: 210
PUNTO Error Sintantico  En Linea: 218
CURRENT Error Sintantico  En Linea: 221
CURRENT Error Sintantico  En Linea: 223
CURRENT Error Sintantico  En Linea: 225
USER Error Sintantico  En Linea: 227
USER Error Sintantico  En Linea: 228
PUNTOCOMA Error Sintantico  En Linea: 228
JOIN Error Sintantico  En Linea: 232
NULL Error Sintantico  En Linea: 237
PUNTO Error Sintantico  En Linea: 242
PUNTO Error Sintantico  En Linea: 249
CADENA Error Sintantico  En Linea: 254
OPENQUERY Error Sintantico  En Linea: 257
COMMA Error Sintantico  En Linea: 261
INDEX Error Sintantico  En Linea: 272
INDEX Error Sintantico  En Linea: 274
IDENTIFICADOR Error Sintantico  En Linea: 277
Fin
